pathways	KEGGREST_genes	name	pathwayclass	category
hsa00620	84532, 55902, 5161, 5160, 5162, 1737, 1738, 124, 125, 126, 131, 127, 130, 128, 10327, 5315, 5313, 31, 32, 98, 97, 217, 224, 219, 501, 223, 134526, 160287, 92483, 3939, 3945, 3948, 197257, 2739, 3029, 9380, 4200, 10873, 4199, 5091, 4190, 4191, 2271, 5105, 5106, 39, 38	Pyruvate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00630	84532, 55902, 4190, 4191, 1431, 50, 48, 39, 38, 84693, 5095, 5096, 4594, 51179, 54363, 847, 9380, 283871, 189, 2752, 6472, 6470, 2731, 275, 1738, 2653, 81888, 132158, 112817, 125061	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00640	84532, 55902, 79611, 593, 594, 1629, 1738, 35, 8310, 51, 3030, 1962, 1892, 26275, 31, 32, 23417, 18, 5095, 5096, 55862, 84693, 4594, 8802, 8801, 8803, 4329, 160287, 92483, 3939, 3945, 3948, 39, 38	Propanoate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00650	39, 38, 3033, 3030, 1962, 1892, 35, 116285, 123876, 341392, 54988, 6296, 348158, 142827, 79944, 2571, 2572, 18, 7915, 3157, 3158, 3155, 54511, 5019, 64064, 65985, 622, 56898	Butanoate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00670	1719, 200895, 25902, 4522, 10797, 441024, 6472, 6470, 2618, 471, 10841, 123263, 275, 4548, 7298, 10840, 160428, 4524, 10588, 100528021	One carbon pool by folate - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00730	9054, 84284, 249, 248, 250, 251, 52, 27010, 122481, 205, 26289, 204, 203, 390877, 158067, 79178	Thiamine metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00740	55312, 54, 52, 53, 80308, 5167, 5169, 645	Riboflavin metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00750	55163, 8566, 57026, 493911, 316, 29968	Vitamin B6 metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00760	554235, 23475, 93100, 4860, 54981, 27231, 22978, 84618, 93034, 30833, 56953, 100526794, 4907, 349565, 64802, 23057, 5167, 5169, 83594, 55191, 10135, 952, 683, 23411, 22933, 23410, 23409, 23408, 51548, 51547, 65220, 133686, 23530, 4837, 316	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00770	53354, 79646, 80025, 79717, 60490, 5167, 5169, 80347, 60496, 8876, 8875, 587, 586, 1806, 1807, 51733, 339896, 51380, 217, 224, 219	Pantothenate and CoA biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00780	54995, 3141, 686	Biotin metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00785	387787, 11019, 51601, 116285	Lipoic acid metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00790	2643, 249, 248, 250, 251, 1719, 200895, 2356, 8836, 5805, 6697, 231, 57016, 873, 8644, 5860, 84105, 5092, 5053, 7054, 121278, 7166, 4337, 4338, 10243, 55034	Folate biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00830	53630, 124, 125, 126, 131, 127, 128, 130, 9249, 10901, 317749, 10170, 50700, 157506, 51109, 145226, 112724, 8608, 195814, 8630, 9227, 8694, 158835, 8228, 6121, 5959, 316, 8854, 216, 220, 1592, 56603, 340665, 1543, 1544, 1548, 1549, 1555, 1558, 1559, 1562, 29785, 1576, 1577, 1551, 100861540, 54905, 10941, 79799, 7367, 10720, 54490, 54578, 54657, 54658, 54659, 7365, 54600, 7364, 54575, 54576, 54579, 7366, 54577, 7363, 574537, 54884, 339761	Retinol metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00860	211, 212, 124454, 2058, 210, 3145, 7390, 7389, 1371, 5498, 2235, 1352, 1355, 326625, 3162, 3163, 644, 645, 10941, 79799, 7367, 10720, 54490, 54578, 54657, 54658, 54659, 7365, 54600, 7364, 54575, 54576, 54579, 7366, 54577, 7363, 574537, 2990, 3052, 1356, 9843, 341208, 2395	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00900	39, 38, 3157, 3158, 3156, 4598, 10654, 4597, 3422, 91734, 2224, 9453, 23590, 57107, 79947, 116150, 2339, 2342, 9986, 10269, 23463, 51449	Terpenoid backbone biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of terpenoids and polyketides	Metabolism
hsa00910	2747, 2746, 2752, 1373, 377677, 759, 765, 766, 771, 11238, 23632, 768, 761, 763, 767, 760, 762	Nitrogen metabolism - Homo sapiens (human)	Metabolism; Energy metabolism	Metabolism
hsa00920	9060, 9061, 10380, 54928, 6821, 58472, 23474, 4357, 7263, 8991	Sulfur metabolism - Homo sapiens (human)	Metabolism; Energy metabolism	Metabolism
hsa00980	1543, 1559, 1576, 1545, 221357, 2939, 2941, 119391, 2948, 2953, 2952, 2947, 4257, 4259, 2944, 2949, 4258, 2938, 2946, 2940, 9446, 653689, 2950, 373156, 27306, 2052, 1555, 6822, 1544, 1548, 1549, 1571, 1572, 29785, 1645, 27294, 1553, 1565, 107987478, 1564, 107987479, 3290, 374875, 873, 874, 10941, 79799, 7367, 10720, 54490, 54578, 54657, 54658, 54659, 7365, 54600, 7364, 54575, 54576, 54579, 7366, 54577, 7363, 574537, 1577, 8574, 22977, 246181, 221, 222, 218, 124, 125, 126, 131, 127, 128, 130	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	Metabolism
hsa00982	1565, 107987478, 1564, 107987479, 1559, 1576, 2326, 2327, 2330, 2328, 2329, 1557, 1555, 1577, 221357, 2939, 2941, 119391, 2948, 2953, 2952, 2947, 4257, 4259, 2944, 2949, 4258, 2938, 2946, 2940, 9446, 653689, 2950, 373156, 27306, 124, 125, 126, 131, 127, 128, 130, 221, 222, 218, 4129, 4128, 316, 10941, 79799, 7367, 10720, 54490, 54578, 54657, 54658, 54659, 7365, 54600, 7364, 54575, 54576, 54579, 7366, 54577, 7363, 574537, 1544, 1571, 1558, 1548, 1549	Drug metabolism - cytochrome P450 - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	Metabolism
hsa00983	3251, 3614, 3615, 8833, 7172, 7498, 3704, 1066, 8824, 10941, 79799, 7367, 10720, 54490, 54578, 54657, 54658, 54659, 7365, 54600, 7364, 54575, 54576, 54579, 7366, 54577, 7363, 574537, 2990, 1576, 978, 1890, 1806, 1807, 51733, 1548, 1549, 151531, 7378, 83549, 7371, 54963, 7084, 7083, 7372, 51727, 6240, 50484, 6241, 10201, 29922, 4831, 4833, 4830, 4832, 654364, 1854, 4353, 10, 9, 1571, 221357, 2939, 2941, 119391, 2948, 2953, 2952, 2947, 4257, 4259, 2944, 2949, 4258, 2938, 2946, 2940, 9446, 653689, 2950	Drug metabolism - other enzymes - Homo sapiens (human)	Metabolism; Xenobiotics biodegradation and metabolism	Metabolism
hsa01040	64834, 54898, 83401, 6785, 60481, 79071, 79993, 51144, 201562, 9200, 401494, 51495, 9524, 6319, 79966, 9415, 3992, 8310, 51, 3295, 30, 6342, 122970, 10965, 641371, 11332, 570	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
